# .test .cputime .temperature .time_mat1 .time_mat2
264 0.206616  5.844 0.002247 0.003109
265 0.206280  6.331 0.002262 0.003131
266 0.221173  5.844 0.002319 0.003138
267 0.207871  6.818 0.002303 0.003196
268 0.209354  5.357 0.002324 0.003249
269 0.214630  5.357 0.002333 0.003244
270 0.209513  5.357 0.002442 0.003295
271 0.231170  5.357 0.002432 0.003243
272 0.211830  5.844 0.002402 0.003342
273 0.211628  5.844 0.002506 0.003319
274 0.213365  5.844 0.002474 0.003321
275 0.214037  5.844 0.002531 0.003340
276 0.214603  6.331 0.002522 0.003397
277 0.215529  5.357 0.002489 0.003556
278 0.216155  6.331 0.002560 0.003532
279 0.222440  5.357 0.002580 0.003529
280 0.216796  6.331 0.002604 0.003564
281 0.218518  6.331 0.002564 0.003625
282 0.219488  5.844 0.002619 0.003613
283 0.218396  5.844 0.002672 0.003696
284 0.221282  5.357 0.002681 0.003665
285 0.252034  5.844 0.002694 0.003700
286 0.221950  6.818 0.002640 0.003781
287 0.224069  6.331 0.002749 0.003786
288 0.222885  6.331 0.002734 0.003781
289 0.223152  5.844 0.002783 0.003827
290 0.223076  6.818 0.002774 0.003857
291 0.225358  6.818 0.002848 0.003905
292 0.258132  6.331 0.002837 0.003935
293 0.226837  6.818 0.002820 0.003954
294 0.227858  5.844 0.002861 0.004055
295 0.230240  6.331 0.002914 0.004023
296 0.230763  5.844 0.002891 0.004102
297 0.237534  6.331 0.002896 0.004122
298 0.238192  7.305 0.002981 0.004130
299 0.232162  6.818 0.003012 0.004181
300 0.233104  5.844 0.003030 0.004224
301 0.233327  5.357 0.003029 0.004256
302 0.236787  6.818 0.003008 0.004280
303 0.235671  6.331 0.003080 0.004324
304 0.235536  5.844 0.003132 0.004329
305 0.261891  6.818 0.003102 0.004357
306 0.236422  5.844 0.003042 0.004420
307 0.242048  5.844 0.003158 0.004412
308 0.241619  4.870 0.003131 0.004462
309 0.244353  6.818 0.003177 0.004511
310 0.244435  7.305 0.003125 0.004565
311 0.243529  6.331 0.003228 0.004581
312 0.242761  5.844 0.003219 0.004599
313 0.250547  7.305 0.003273 0.004641
314 0.245408  6.818 0.003277 0.004667
315 0.247363  6.818 0.003315 0.004783
316 0.249109  6.331 0.003258 0.004767
317 0.249610  6.331 0.003363 0.004830
318 0.255423  6.331 0.003357 0.004857
319 0.249050  6.331 0.003375 0.004832
320 0.249818  6.331 0.003397 0.004912
321 0.251929  5.844 0.003418 0.004963
322 0.252845  6.818 0.003381 0.004964
323 0.254916  7.305 0.003458 0.005011
324 0.255730  6.331 0.003419 0.005018
325 0.255067  6.818 0.003439 0.005108
326 0.254745  6.818 0.003521 0.005175
327 0.258542  6.331 0.003521 0.005151
328 0.256862  7.792 0.003567 0.005144
329 0.258321  6.331 0.003531 0.005197
330 0.258731  7.792 0.003587 0.005216
331 0.258813  7.305 0.003499 0.005344
332 0.267880  6.818 0.003650 0.005372
333 0.260698  6.818 0.003630 0.005365
334 0.262839  5.844 0.003654 0.005409
335 0.259892  6.818 0.003675 0.005425
336 0.262569  6.331 0.003697 0.005478
337 0.262948  6.331 0.003690 0.005509
338 0.266475  6.818 0.003755 0.005543
339 0.265222  6.818 0.003740 0.005575
340 0.265194  6.818 0.003779 0.005666
341 0.266720  7.305 0.003764 0.005676
342 0.269011  5.844 0.003831 0.005800
343 0.267975  6.331 0.003811 0.005723
344 0.270893  5.844 0.003875 0.005781
345 0.270598  7.792 0.003856 0.005866
346 0.270794  6.331 0.003913 0.005899
347 0.270705  7.305 0.003886 0.005921
348 0.270776  6.818 0.003952 0.005928
349 0.271251  6.818 0.003942 0.005970
350 0.273333  7.305 0.004005 0.006020
351 0.273813  7.792 0.004007 0.006060
352 0.277285  6.818 0.004040 0.006193
353 0.274668  6.818 0.004027 0.006150
354 0.278359  7.305 0.004098 0.006201
355 0.275990  6.818 0.004081 0.006254
356 0.278650  7.305 0.004104 0.006282
357 0.279267  6.331 0.004109 0.006346
358 0.279326  7.305 0.004244 0.006350
359 0.281974  6.818 0.004295 0.006561
360 0.280958  7.792 0.004219 0.006463
361 0.282468  6.818 0.004186 0.006546
362 0.282702  8.279 0.004357 0.006540
363 0.282678  7.305 0.004240 0.006575
364 0.283951  6.818 0.004300 0.006664
365 0.285925  8.279 0.004295 0.006658
366 0.286821  6.331 0.004350 0.006717
367 0.287004  6.818 0.004384 0.006687
368 0.288134  8.279 0.004374 0.006767
369 0.287960  8.279 0.004406 0.006804
370 0.289845  7.305 0.004434 0.006830
371 0.290698  7.792 0.004438 0.006895
372 0.289952  7.792 0.004490 0.006949
373 0.292696  8.279 0.004483 0.007022
374 0.291960  8.279 0.004530 0.006979
375 0.293123  8.766 0.004526 0.007061
376 0.302014  7.305 0.004580 0.007048
377 0.295169  7.792 0.004579 0.007148
378 0.295130  7.792 0.004607 0.007188
379 0.296520  7.792 0.004626 0.007212
380 0.296532  8.279 0.004701 0.007280
381 0.306478  6.818 0.004697 0.007315
382 0.299197  7.305 0.004704 0.007360
383 0.309124  8.279 0.004734 0.007388
384 0.300695  8.279 0.004733 0.007605
385 0.300497  7.792 0.004790 0.007476
386 0.310650  7.792 0.004785 0.007536
387 0.301466  7.305 0.004846 0.007567
388 0.313163  6.331 0.004806 0.007597
389 0.302320  6.818 0.004901 0.007682
390 0.303741  7.792 0.004862 0.007716
391 0.304857  7.792 0.004945 0.007734
392 0.307542  7.792 0.004918 0.007765
393 0.305325  7.792 0.005119 0.007811
394 0.307657  8.279 0.004970 0.007874
395 0.307872  7.305 0.005056 0.007908
